ID,ClassificationID,ClassificationCode,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,MatchScore,Alternates
3416,,,,,Housing Allowance,Position: Housing Allowance,Unclassified,Ro_00_Unclassified,0.4683,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'score': 0.3872414827346802}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.36908847093582153}]"
3417,,,,,Housing Allowance,Position: Housing Allowance,Unclassified,Ro_00_Unclassified,0.4683,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'score': 0.3872414827346802}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.36908847093582153}]"
3418,,,,,Housing Allowance,Position: Housing Allowance,Unclassified,Ro_00_Unclassified,0.4683,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'score': 0.3872414827346802}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.36908847093582153}]"
3419,,,,,Housing Allowance,Position: Housing Allowance,Unclassified,Ro_00_Unclassified,0.4683,"[{'title': 'Building control officer', 'code': 'Ro_30_30_09', 'score': 0.3872414827346802}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.36908847093582153}]"
3420,36.0,JCB_S,Jacobs PAA Salary,Drafting,Civil Drafter,Classification: Jacobs PAA Salary | Discipline: Drafting | Position: Civil Drafter,Unclassified,Ro_00_Unclassified,0.3626,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.3460189402103424}, {'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.34150147438049316}]"
3422,35.0,ARC_S,Acradis PAA Salary,Pavements,Pavement engineer,Classification: Acradis PAA Salary | Discipline: Pavements | Position: Pavement engineer,Unclassified,Ro_00_Unclassified,0.5085,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.486581027507782}, {'title': 'Drainage engineer', 'code': 'Ro_50_20_28', 'score': 0.43570607900619507}]"
3423,35.0,ARC_S,Acradis PAA Salary,Road Civil,Design Coordinator,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Design Coordinator,Unclassified,Ro_00_Unclassified,0.4467,"[{'title': 'Principal designer', 'code': 'Ro_30_30_68', 'score': 0.43998831510543823}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.43995165824890137}]"
3424,35.0,ARC_S,Acradis PAA Salary,Buildings,Graduate Mechanical Engineer,Classification: Acradis PAA Salary | Discipline: Buildings | Position: Graduate Mechanical Engineer,Unclassified,Ro_00_Unclassified,0.4722,"[{'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'score': 0.4693630039691925}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'score': 0.4600476026535034}]"
3425,35.0,ARC_S,Acradis PAA Salary,Buildings,Fire Services lead POD 2,Classification: Acradis PAA Salary | Discipline: Buildings | Position: Fire Services lead POD 2,Unclassified,Ro_00_Unclassified,0.4771,"[{'title': 'Fire risk assessor', 'code': 'Ro_30_30_28', 'score': 0.430300772190094}, {'title': 'Fire engineer', 'code': 'Ro_50_20_33', 'score': 0.4278208613395691}]"
3426,35.0,ARC_S,Acradis PAA Salary,Buildings,Electrical Services Lead,Classification: Acradis PAA Salary | Discipline: Buildings | Position: Electrical Services Lead,Unclassified,Ro_00_Unclassified,0.4301,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'score': 0.42749863862991333}, {'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.4090571701526642}]"
3427,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Technical Direction and Review,Classification: Jacobs PAA Salary | Discipline: Tunnels | Position: Technical Direction and Review,Unclassified,Ro_00_Unclassified,0.4818,"[{'title': 'Rail engineer', 'code': 'Ro_50_20_70', 'score': 0.4183281660079956}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.41302937269210815}]"
3428,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Geometric Design Reviewer,Classification: Jacobs PAA Salary | Discipline: Road Civil | Position: Geometric Design Reviewer,Unclassified,Ro_00_Unclassified,0.4586,"[{'title': 'Landscape architect', 'code': 'Ro_50_30_47', 'score': 0.45232754945755005}, {'title': 'Heritage surveyor', 'code': 'Ro_70_10_36', 'score': 0.45059865713119507}]"
3429,36.0,JCB_S,Jacobs PAA Salary,Project Management,HSE Manager,Classification: Jacobs PAA Salary | Discipline: Project Management | Position: HSE Manager,Unclassified,Ro_00_Unclassified,0.4871,"[{'title': 'Project manager', 'code': 'Ro_30_10_67', 'score': 0.4251786172389984}, {'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.41924336552619934}]"
3430,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,BIM Lead – Miscellaneous Structures,Classification: Jacobs PAA Salary | Discipline: Digital Engineering | Position: BIM Lead – Miscellaneous Structures,Unclassified,Ro_00_Unclassified,0.4719,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'score': 0.46094727516174316}, {'title': 'Digital engineer', 'code': 'Ro_50_20_26', 'score': 0.46042919158935547}]"
3431,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3432,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3433,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3434,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3435,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3436,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3437,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
