ID,ClassificationID,ClassificationCode,Classification,Discipline,Position
2638,35.0,ARC_S,Acradis PAA Salary,Structures,Miscellaneous Structures Package Lead
2639,35.0,ARC_S,Acradis PAA Salary,In-tunnel Structures,Package lead for mainline intunnel structures
2640,35.0,ARC_S,Acradis PAA Salary,In-tunnel Structures,Package Lead
2641,35.0,ARC_S,Acradis PAA Salary,Tunnels,Senior Civil Structures Enginer
2642,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,BIM Coordinator
2643,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotechnical Engineer
2644,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotechnical: Civil Structures
2645,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2646,35.0,ARC_S,Acradis PAA Salary,Structures,Designer
2647,35.0,ARC_S,Acradis PAA Salary,Structures,Senior Revit Designr
2648,35.0,ARC_S,Acradis PAA Salary,Structures,"Bridge Package Lead (BR01, BR02, BR03)"
2649,35.0,ARC_S,Acradis PAA Salary,Structures,Principal Technician
2650,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2651,35.0,ARC_S,Acradis PAA Salary,Structures,Civil Structures - Retaining Walls Engineer
2652,35.0,ARC_S,Acradis PAA Salary,Road Civil,Civil Engineer (South Precinct)
2653,36.0,JCB_S,Jacobs PAA Salary,,
2654,36.0,JCB_S,Jacobs PAA Salary,,
2655,36.0,JCB_S,Jacobs PAA Salary,,
2656,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotechnical Engineer
2657,35.0,ARC_S,Acradis PAA Salary,Structures,Engineer
2658,35.0,ARC_S,Acradis PAA Salary,Structures,
